,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__activation_fun,param_module__hidden_layers,param_module__num_units,param_optimizer,param_optimizer__momentum,param_optimizer__nesterov,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
57,6.389783310890198,1.074455320919574,0.006606388092041016,0.004854565535866353,660,0.029,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.1042316637205003,1.0737110493438584,1.2116927024453206,1.2329039545939828,1.202642809235512,1.2775423418646468,1.1883591493325574,1.1171260583109426,1.3008641363086557,1.0891654726795175,1.1798239337835494,0.07599367842640749,249
286,8.289260506629944,1.9518913925878045,0.00854029655456543,0.0037397353550753126,720,0.029,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 720, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.12939792986315,1.079062828482514,1.2188149261519425,1.2459793594434745,1.2040472069293036,1.2578033533759583,1.1771835898210232,1.130557583574962,1.2664489664025325,1.0896912835764163,1.1798987027621277,0.0658193410553179,248
207,2.6743754863739015,0.46943209275784425,0.00368654727935791,0.0009005612218013192,700,0.029,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 700, 'lr': 0.029, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.1134555863314552,1.0812906371149467,1.2048287715454746,1.2617843505135156,1.1940260847148143,1.2595567475528198,1.145185253617907,1.1482494658321367,1.318969707235806,1.0718963552040583,1.1799242959662934,0.07824444744044678,247
75,6.23674213886261,2.2284687583994796,0.011198306083679199,0.007179657303013102,688,0.025,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 688, 'lr': 0.025, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.0900993603736835,1.0915826287372667,1.2156627077357214,1.2296484104336654,1.1962285984475585,1.277607504138373,1.1576915307432638,1.1563063647065843,1.3055824678867383,1.0799640034551197,1.1800373576657974,0.0750095602192519,246
39,5.742472386360168,1.311522462361441,0.006843304634094239,0.005552773918341455,660,0.028,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.1127033924922012,1.0645984010140699,1.2057399321207427,1.2243691089570075,1.193419589121875,1.2774300324849617,1.1816557091765834,1.16764805856672,1.315923898403806,1.0602807008633108,1.180376882320128,0.0794431426482441,245
263,3.4026195287704466,0.5912482509007443,0.007948184013366699,0.004791705533353603,720,0.028,1000,tanh,1,40,<class 'torch.optim.sgd.SGD'>,0.9,True,0.012,"{'batch_size': 720, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 40, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.012}",1.1327176891211281,1.0892777701741772,1.2112864075583945,1.226429984498685,1.1976424364891267,1.2783955039274424,1.1620942947027602,1.1525891621954234,1.2561645556549381,1.0975163773435987,1.1804114181665675,0.06104794560866266,244
107,5.722199416160583,1.0546772402998885,0.007121038436889648,0.004288459938569678,688,0.0273,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.012,"{'batch_size': 688, 'lr': 0.0273, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.012}",1.1226462437876297,1.0621531657818566,1.2479750427200382,1.2291718254748143,1.20393771426122,1.256534985021541,1.144258760644081,1.1373663395643234,1.3031726067787723,1.1028244542522412,1.1810041138286516,0.07406683556470993,243
3,5.657457685470581,0.889866456057351,0.0054165363311767575,0.0038212572886019893,660,0.025,1000,tanh,1,38,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 660, 'lr': 0.025, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 38, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.1106333078298354,1.0837625882735378,1.205488523034225,1.2503467295178794,1.220820406577865,1.2722449289788877,1.169363587366459,1.1538101163293635,1.2872227100949538,1.0568672796908878,1.1810560177693892,0.07569240714245878,242
268,11.51398961544037,3.4807815185844686,0.012225937843322755,0.006345392841903716,720,0.028,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.0115,"{'batch_size': 720, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.0115}",1.0909266465980756,1.0909706093090819,1.2430225997266913,1.237757746046199,1.1707137917217456,1.2617787070628395,1.1195042030255598,1.168664417824799,1.3195784636177963,1.1088429446699042,1.1811760129602693,0.0763295299539543,241
53,5.241389560699463,0.6976911091248378,0.007831668853759766,0.0038899295997187424,660,0.028,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.012,"{'batch_size': 660, 'lr': 0.028, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.012}",1.110562225936779,1.083044027027331,1.2349392187998707,1.255341906800754,1.2007742954516096,1.2707501730804605,1.1863773186460025,1.1331804765570432,1.246835394573391,1.091296049625133,1.1813101086498374,0.06792266632867995,240
87,5.788828945159912,0.8603707279188205,0.010166811943054199,0.005508590047535202,688,0.025,1000,tanh,1,42,<class 'torch.optim.sgd.SGD'>,0.9,True,0.01,"{'batch_size': 688, 'lr': 0.025, 'max_epochs': 1000, 'module__activation_fun': 'tanh', 'module__hidden_layers': 1, 'module__num_units': 42, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__momentum': 0.9, 'optimizer__nesterov': True, 'optimizer__weight_decay': 0.01}",1.071099097791471,1.0939247741861116,1.2146662042749332,1.2483155314243377,1.1998836961679888,1.2652155468450452,1.1623968105287033,1.159602300439002,1.2983973811702676,1.1006544522489563,1.1814155795076817,0.07335783185193914,239
