,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
443,1.0144498109817506,0.11980045921299455,0.0037519454956054686,0.00687708036708789,logistic,0.0961810344436208,648,False,"(100,)",constant,0.2519221607596974,1000,10,69,adam,0.0010399006087038567,0.2,"{'activation': 'logistic', 'alpha': 0.0961810344436208, 'batch_size': 648, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.2519221607596974, 'max_iter': 1000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010399006087038567, 'validation_fraction': 0.2}",1.193547491312181,1.2827409520241349,1.2255033006941305,0.9902305148576395,1.0439574337386117,1.0747714437374525,1.1927573304191823,1.175247886171094,1.130843518581956,1.0971247248743898,1.140672459641077,0.08509190510736538,441
27,1.995862650871277,0.47303912865163084,0.0060122966766357425,0.01413063017065219,logistic,0.05987916654174263,114,False,"(25,)",adaptive,0.06321084043800927,1000,25,69,sgd,0.0010218607331781626,0.2,"{'activation': 'logistic', 'alpha': 0.05987916654174263, 'batch_size': 114, 'early_stopping': False, 'hidden_layer_sizes': (25,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.06321084043800927, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010218607331781626, 'validation_fraction': 0.2}",1.1943167945521243,1.2439659706267074,1.1859204042374587,0.9843742933336742,1.045083295175769,1.080213392389078,1.2701626551080307,1.1248637207287038,1.158401207349476,1.147677277711626,1.143497901121265,0.0837362026015019,440
12,1.572382378578186,0.5302120182806763,0.0015669584274291993,3.764674661761246e-05,tanh,0.042822153601025634,157,False,"(50, 50)",constant,0.013701782292286682,1000,10,69,adam,0.0010310490359923155,0.2,"{'activation': 'tanh', 'alpha': 0.042822153601025634, 'batch_size': 157, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'learning_rate_init': 0.013701782292286682, 'max_iter': 1000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010310490359923155, 'validation_fraction': 0.2}",1.2092111592977153,1.2074920046522906,1.2793368623261618,1.033423110572761,1.0575991212213025,1.0449718059168458,1.1863696013878597,1.1439155040065183,1.1464545389900085,1.130017769485408,1.1438791477856871,0.0762202804698943,439
481,6.3365569591522215,0.4546867429437935,0.0012868642807006836,0.00010348383956741819,logistic,0.021510922362653485,44,False,"(25, 25)",adaptive,0.1205406935697556,1000,25,69,sgd,0.001044354998152396,0.2,"{'activation': 'logistic', 'alpha': 0.021510922362653485, 'batch_size': 44, 'early_stopping': False, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1205406935697556, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001044354998152396, 'validation_fraction': 0.2}",1.0998401605336687,1.1849722308705162,1.2147583168340175,1.0585735207422118,1.0218771661974964,1.1307676295216351,1.2214508273349283,1.2020229935932218,1.1881703391758183,1.1371183959521949,1.1459551580755707,0.06507516223164642,438
170,1.4858729600906373,0.42272991928328435,0.0015021562576293945,0.0003861326092728771,logistic,0.044855008264876386,523,False,"(50,)",constant,0.08506636204453154,1000,25,69,sgd,0.0010982499686835263,0.2,"{'activation': 'logistic', 'alpha': 0.044855008264876386, 'batch_size': 523, 'early_stopping': False, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant', 'learning_rate_init': 0.08506636204453154, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'sgd', 'tol': 0.0010982499686835263, 'validation_fraction': 0.2}",1.1651807341382916,1.2158734963761573,1.2487486192115163,1.064843577423961,1.1290292316906116,1.1111734481926039,1.1764738978118765,1.1465080160354908,1.1081715174315214,1.0998794848031972,1.1465882023115228,0.05327128508392777,437
448,0.7218389749526978,0.16836687100236172,0.004059934616088867,0.008182948362633816,logistic,0.09773828668486435,839,False,"(10, 10)",constant,0.12487888849178096,1000,25,69,adam,0.0010505574905358265,0.2,"{'activation': 'logistic', 'alpha': 0.09773828668486435, 'batch_size': 839, 'early_stopping': False, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.12487888849178096, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010505574905358265, 'validation_fraction': 0.2}",1.127304188720516,1.2368025060956611,1.2156147048131545,1.044047669626404,1.1076736340778595,1.175421722915373,1.129502977197092,1.1531760445067583,1.1278218573426226,1.1588387686571011,1.1476204073952543,0.05192526398348511,436
437,1.3793783903121948,0.32740383833375714,0.0012294769287109375,1.824791697564023e-05,logistic,0.05476111537367402,882,False,"(25, 25)",constant,0.0803204998834555,1000,25,69,adam,0.0010125655042120432,0.2,"{'activation': 'logistic', 'alpha': 0.05476111537367402, 'batch_size': 882, 'early_stopping': False, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant', 'learning_rate_init': 0.0803204998834555, 'max_iter': 1000, 'n_iter_no_change': 25, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010125655042120432, 'validation_fraction': 0.2}",1.1466780456629009,1.2355994525149794,1.1512265897125513,1.0941105537259546,1.078049964204189,1.0746928327725747,1.1632565030382527,1.1722062576017054,1.1780258380201176,1.206727070524667,1.1500573107777892,0.050974151779825276,435
334,1.0550370931625366,0.15976810819431322,0.0037267446517944337,0.006918882119577414,logistic,0.060908389346894125,623,False,"(100,)",invscaling,0.21836269084625543,1000,10,69,adam,0.0010839979292249402,0.2,"{'activation': 'logistic', 'alpha': 0.060908389346894125, 'batch_size': 623, 'early_stopping': False, 'hidden_layer_sizes': (100,), 'learning_rate': 'invscaling', 'learning_rate_init': 0.21836269084625543, 'max_iter': 1000, 'n_iter_no_change': 10, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010839979292249402, 'validation_fraction': 0.2}",1.2068844124032452,1.267962390308138,1.2342723940810785,1.0421210641552474,1.0544832390854835,1.0808294415195372,1.2023645706815906,1.1818773912546987,1.153447370900707,1.087178067490028,1.1511420341879754,0.07583029366048029,434
258,2.351032781600952,0.4047074805520824,0.0013961315155029297,6.801148964666826e-05,logistic,0.07761708348059983,262,False,"(50, 50)",invscaling,0.06410703399025762,1000,50,69,adam,0.0010547668091259955,0.2,"{'activation': 'logistic', 'alpha': 0.07761708348059983, 'batch_size': 262, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'invscaling', 'learning_rate_init': 0.06410703399025762, 'max_iter': 1000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010547668091259955, 'validation_fraction': 0.2}",1.214103064032412,1.188429489724724,1.189031751824516,1.0752879025666047,1.080537160687619,1.089282655621075,1.1933225954538602,1.1569809832131548,1.1329895703373905,1.1938198024877102,1.1513784975949064,0.05031818186367491,433
345,0.7093111276626587,0.060499774763770456,0.003964948654174805,0.008207960743543732,logistic,0.078701320295087,685,False,"(5, 5)",adaptive,0.0605740336841517,1000,50,69,adam,0.0010217457406664094,0.2,"{'activation': 'logistic', 'alpha': 0.078701320295087, 'batch_size': 685, 'early_stopping': False, 'hidden_layer_sizes': (5, 5), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0605740336841517, 'max_iter': 1000, 'n_iter_no_change': 50, 'random_state': 69, 'solver': 'adam', 'tol': 0.0010217457406664094, 'validation_fraction': 0.2}",1.175009907203116,1.2683425962730113,1.2400535270219704,1.082947546055464,1.1103021003046545,1.0697716856080457,1.1722161846092423,1.1455671839737618,1.125595678602711,1.1455821823004548,1.1535388591952433,0.06020938632720622,432
