,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_n_iter_no_change,param_random_state,param_solver,param_tol,param_validation_fraction,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
46,0.9808982133865356,0.2733724048011465,0.007027745246887207,0.015237105931975631,logistic,0.065,1000,True,"(12, 12)",constant,0.2,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2416948213917451,1.1528411989136174,1.3587627068037176,1.381136477369117,1.3489676174047756,1.3919606480222133,1.3069333356489867,1.177133690978506,1.4128917794803715,1.2108369944883604,1.298315927050141,0.09041925350518695,61
73,0.9720476865768433,0.2958732684034052,0.017016267776489256,0.023576257465085394,logistic,0.07,1000,True,"(12, 12)",constant,0.2,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2417318870425194,1.1529279377280348,1.3588083595252165,1.3811523544587019,1.348980120057078,1.392037584672323,1.3069912974755742,1.1771754007935233,1.4129221076000997,1.210906386542605,1.2983633435895676,0.09040824616052617,60
27,0.9662771701812745,0.28975519081961093,0.01491873264312744,0.02623116703883078,logistic,0.065,1000,True,"(8, 8)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.19468897283499,1.1564291230361996,1.5006495878295651,1.2801990603332336,1.312492375678338,1.317360134904105,1.3155046095699783,1.2390268135371176,1.4873869329549019,1.1963406579620635,1.3000078268640491,0.11073843993992448,59
54,1.1870010137557983,0.26776231421783847,0.0019078016281127929,0.00013617372477001623,logistic,0.07,1000,True,"(8, 8)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.1946526189807698,1.1564350380899824,1.501577400009602,1.280377157353268,1.31257298719348,1.3174186536465826,1.3154704619021373,1.239196555690726,1.4874121844274415,1.1963963748483113,1.3001509432142302,0.11089732496100453,58
2,0.9705400943756104,0.23510592929377325,0.008348870277404784,0.018802796403378123,logistic,0.06,1000,True,"(8, 8)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2791057009194868,1.12346455094076,1.2303487837498195,1.3716767313497213,1.3901488419679497,1.450021604589961,1.3332475921556028,1.2468703367862501,1.4057008321829931,1.2264974933479489,1.3057082467990493,0.09612548303811394,57
29,1.119826650619507,0.32693910339820875,0.002808213233947754,0.002413099375533161,logistic,0.065,1000,True,"(8, 8)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2574556213562351,1.1234865940487198,1.2304051832079095,1.3716885219544077,1.3959409509441656,1.4257202155664432,1.332843633295711,1.3257094456571688,1.4058394084783594,1.2264530493022499,1.309554262381137,0.09241098576508842,56
56,1.0884735345840455,0.25395259673328036,0.008421730995178223,0.019234991715553665,logistic,0.07,1000,True,"(8, 8)",constant,0.2,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2555719982813207,1.1235079671792918,1.2304640106543345,1.3717003802173535,1.4057548741121482,1.4243316604407317,1.3324545753623118,1.3367186652115977,1.4059790207599856,1.2264087856963608,1.3112891937915436,0.09355012509135885,55
64,1.3465042591094971,0.27740706441946184,0.01811637878417969,0.025033491389554952,logistic,0.07,1000,True,"(10, 10)",constant,0.2,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2511687324473737,1.1996827478164185,1.3517674732595808,1.3424220831070224,1.3578545799834296,1.3861342604716964,1.3417348537011593,1.2096111918090906,1.4533861536785782,1.2338930839376634,1.3127655160212013,0.07992096008537561,54
37,1.4452618837356568,0.20437123693581644,0.0034833431243896486,0.003668803644034248,logistic,0.065,1000,True,"(10, 10)",constant,0.2,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2512035428437436,1.199675911061395,1.3517687838638832,1.3424052423923618,1.3578747760088028,1.3861196006783163,1.3417424673169682,1.2096171268996037,1.4534080979510648,1.2338673515662892,1.312768290058243,0.07992438968163737,53
10,1.030231237411499,0.26516738761420455,0.002690625190734863,0.002483811358229859,logistic,0.06,1000,True,"(10, 10)",constant,0.2,500,0.49,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (10, 10), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.49, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.2512383715621946,1.199669093419213,1.3517700545028735,1.3423884251412195,1.3578950515212338,1.3861049607145048,1.3417500874525803,1.2096230974998075,1.4534300709037002,1.2338416601773081,1.3127710872894636,0.07992782105787127,52
32,1.0863406896591186,0.2374026209514718,0.015420341491699218,0.02759602294936659,logistic,0.065,1000,True,"(8, 8)",constant,0.22,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.3939390037380366,1.2046906174160774,1.3987326928472985,1.3724835840986778,1.4358223530672045,1.3419752461555061,1.3051113099576526,1.3615557923750947,1.3550201330312632,1.1650235578900916,1.3334354290576902,0.0818546756026423,51
59,0.9263458967208862,0.26125893344177226,0.002356219291687012,0.0011146066790595906,logistic,0.07,1000,True,"(8, 8)",constant,0.22,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.07, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.3943566072931528,1.2047983009257859,1.3987432970695612,1.3720889481786696,1.4386853483357538,1.3419179311685616,1.3062935586005224,1.361765985047984,1.3549415282305084,1.1655228180532482,1.3339114322903747,0.0820742372405802,50
5,1.2512194156646728,0.18049276714930682,0.003917503356933594,0.003788664361256951,logistic,0.06,1000,True,"(8, 8)",constant,0.22,500,0.55,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (8, 8), 'learning_rate': 'constant', 'learning_rate_init': 0.22, 'max_iter': 500, 'momentum': 0.55, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.3935248129832445,1.204583267130196,1.3987257220011886,1.3831489504069268,1.4329076095738333,1.3420355417746164,1.3038978935167707,1.361349998258397,1.3550972656101572,1.1645648832042879,1.3339835944459615,0.08218985803195288,49
18,1.4163320302963256,0.46165735630478816,0.014866352081298828,0.023426143723947006,logistic,0.06,1000,True,"(12, 12)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.06, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.3138553203931103,1.2294162680828473,1.4076017836875203,1.3805502614681417,1.4062580596315375,1.4164959183414567,1.367672090165196,1.3513671170533248,1.4648256037539384,1.1547981891176646,1.3492840611694739,0.08904074741445106,48
45,1.3571038007736207,0.4187396352650196,0.021016907691955567,0.028914869373381887,logistic,0.065,1000,True,"(12, 12)",constant,0.2,500,0.45,15,69,sgd,0.001,0.2,"{'activation': 'logistic', 'alpha': 0.065, 'batch_size': 1000, 'early_stopping': True, 'hidden_layer_sizes': (12, 12), 'learning_rate': 'constant', 'learning_rate_init': 0.2, 'max_iter': 500, 'momentum': 0.45, 'n_iter_no_change': 15, 'random_state': 69, 'solver': 'sgd', 'tol': 0.001, 'validation_fraction': 0.2}",1.3139480255909906,1.2294793468362466,1.4076333348807422,1.3806464082437804,1.4062918474794832,1.4165543039399693,1.3677482965991357,1.3514039865957421,1.4649064640567135,1.15484915688874,1.3493461171111545,0.08904160175017863,47
